,Model_Name,Manufacturer_ID,Category_ID,Screen_Size,Screen_Type_ID,RAM,CPU_ID,GPU_ID,SSD_Storage,HDD_Storage,Weight,OS_ID,OS_Version_ID,ID
316,Inspiron 3567,2,5,15.6,16,8,84,5,0,1000,2.3,2,1,317
317,Latitude 5580,2,5,15.6,16,4,59,8,0,500,1.93,2,1,318
318,Satellite Pro,3,5,15.6,31,8,25,48,256,0,2.2,3,3,319
319,Inspiron 5577,2,3,15.6,10,16,54,42,512,0,2.56,3,3,320
320,IdeaPad 320-15IKB,14,5,15.6,10,8,2,19,128,1000,2.3,3,3,321
321,Swift 3,4,5,14.0,31,8,41,8,128,0,1.5,3,3,322
322,Aspire 3,4,5,15.6,16,4,18,52,0,500,2.1,3,3,323
323,Inspiron 7378,2,6,13.3,24,12,84,8,256,0,1.6,3,3,324
324,Portege X30-D-10J,3,5,13.3,31,8,2,8,256,0,1.05,3,3,325
325,Spin 5,4,6,13.3,24,8,58,12,256,0,1.6,3,3,326
326,VivoBook Pro,19,3,15.6,10,8,54,42,128,1000,1.99,3,3,327
327,XPS 13,2,4,13.3,31,8,31,12,256,0,1.21,3,3,328
328,Rog G752VL-UH71T,19,3,17.3,24,24,81,2,256,1000,4.33,3,3,329
329,IdeaPad 320-15AST,14,5,17.3,1,8,7,25,0,1000,2.8,3,3,330
330,Pro P2540UA-XO0192R,19,5,15.6,16,4,84,8,256,0,2.37,3,3,331
331,Inspiron 5579,2,6,15.6,23,16,31,12,512,0,2.0,3,3,332
332,K756UX-T4340T (i5-7200U/8GB/500GB,19,5,17.3,10,8,2,81,256,500,2.69,3,3,333
333,Omen 17-w212nv,7,3,17.3,31,8,54,42,128,1000,3.35,3,3,334
334,Inspiron 7577,2,3,15.6,31,8,54,43,128,1000,2.62,3,3,335
335,ThinkPad Yoga,14,6,13.3,24,8,84,8,512,0,1.37,3,3,336
336,VivoBook S15,19,4,15.6,10,8,84,19,256,0,1.7,3,3,337
337,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),14,5,15.6,10,4,91,8,128,0,2.05,3,3,338
338,Spectre Pro,7,6,13.3,23,8,118,53,256,0,1.48,3,3,339
339,Latitude E5270,2,4,12.5,16,8,3,53,256,0,1.5,3,5,340
340,EliteBook 820,7,4,12.5,10,8,3,53,256,0,1.26,3,5,341
341,IdeaPad 720S-14IKB,14,5,14.0,31,8,2,19,256,0,1.5,3,3,342
342,Latitude 5590,2,4,15.6,31,8,58,12,256,0,1.88,3,3,343
343,Zenbook UX430UA,19,4,14.0,10,8,84,8,256,0,1.25,3,3,344
344,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,19,3,15.6,10,8,54,42,0,1000,2.2,3,3,345
345,Zenbook UX510UW-FI095T,19,5,15.6,21,8,84,46,256,1000,2.0,3,3,346
346,V510-15IKB (i5-7200U/8GB/256GB/FHD/No,14,5,15.6,31,8,2,8,256,0,2.3,1,1,347
347,Inspiron 5567,2,5,15.6,10,16,84,1,256,0,2.36,2,1,348
348,EliteBook 820,7,4,12.5,10,4,2,8,0,500,1.26,3,3,349
349,Alienware 15,2,3,15.6,10,16,96,79,256,1000,3.49,3,3,350
350,Inspiron 5567,2,5,15.6,10,8,84,1,256,0,2.33,3,3,351
351,Inspiron 7567,2,3,15.6,10,8,54,54,0,1000,2.62,3,3,352
352,UX510UX-CN269T (i7-7500U/8GB/256GB,19,5,14.0,10,8,84,8,256,1000,2.0,3,3,353
353,ProBook 450,7,5,15.6,10,8,84,65,256,0,2.04,3,3,354
354,Thinkpad 13,14,5,13.3,31,8,84,8,256,0,1.4,3,3,355
355,Blade Stealth,11,4,12.5,28,8,25,53,256,0,1.25,3,3,356
356,Legion Y720-15IKB,14,3,15.6,31,16,54,103,256,1000,3.2,3,3,357
357,MacBook Pro,5,4,13.3,35,8,82,31,128,0,1.37,6,1,358
358,Inspiron 7567,2,3,15.6,10,16,54,43,128,1000,2.6,3,3,359
359,Aspire A515-51G,4,5,15.6,31,8,31,32,256,0,2.2,3,3,360
360,Chromebook Flip,19,6,12.5,23,4,102,82,64,0,1.2,5,1,361
361,TravelMate P238-M,4,5,13.3,16,4,3,53,128,0,1.6,3,3,362
362,GL62M 7RD,17,3,15.6,10,8,43,42,128,1000,2.2,3,3,363
363,Zenbook 3,19,4,14.0,10,8,2,8,256,0,1.1,3,3,364
364,Inspiron 7577,2,3,15.6,10,8,43,103,256,0,2.65,3,3,365
365,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),4,5,14.0,31,8,2,8,256,0,1.56,3,3,366
366,ProBook 430,7,5,13.3,31,4,58,12,0,500,1.49,3,3,367
367,ThinkPad E580,14,5,15.6,31,8,31,106,256,0,2.1,3,3,368
368,Chromebook 11,7,2,11.6,16,4,30,105,16,0,1.23,5,1,369
369,ProBook 450,7,5,15.6,10,4,2,8,256,0,2.04,3,3,370
370,ProBook 470,7,5,17.3,10,8,58,65,256,0,2.5,3,3,371
371,ProBook 450,7,5,15.6,10,8,84,65,0,1000,2.04,3,3,372
372,Macbook Air,5,4,13.3,17,8,52,84,256,0,1.34,6,1,373
373,Satellite Pro,3,5,15.6,16,4,41,8,0,500,2.0,3,3,374
374,Q534UX-BHI7T19 (i7-7500U/16GB/2TB,19,6,15.6,26,16,84,81,512,2000,2.3,3,3,375
375,Aspire E5-575,4,5,15.6,10,4,41,8,0,1000,2.4,3,3,376
376,Aspire E5-576G,4,5,15.6,10,4,45,19,0,1000,2.23,3,3,377
377,IdeaPad 310-15IKB,14,5,15.6,10,4,2,80,0,1000,2.4,3,3,378
378,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),7,4,15.6,10,8,31,8,256,0,1.91,3,3,379
379,15-ay047nv (i3-6006U/6GB/1TB/Radeon,7,5,15.6,36,6,45,5,0,1000,2.04,3,3,380
380,Aspire 7,4,5,15.6,10,8,54,42,256,0,2.5,2,1,381
381,Tecra Z40-C-136,3,4,14.0,31,8,55,53,256,0,1.47,3,3,382
382,Thinkpad T470p,14,4,14.0,2,8,54,93,512,0,1.7,3,3,383
383,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,4,6,11.6,39,4,106,105,32,0,1.25,5,1,384
384,Thinkpad T460s,14,4,14.0,31,12,55,53,256,0,1.4,3,3,385
385,ZenBook UX430UN,19,4,14.0,10,16,31,32,512,0,1.3,3,3,386
386,Inspiron 5770,2,5,17.3,31,8,58,21,128,1000,2.8,2,1,387
387,ThinkPad L470,14,5,14.0,31,8,2,8,256,0,1.9,3,3,388
388,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,19,6,15.6,23,12,84,19,0,2000,2.3,3,3,389
389,Zbook 15,7,1,15.6,10,8,54,22,256,0,2.6,3,3,390
390,Legion Y720-15IKB,14,3,15.6,31,8,54,103,0,1000,3.2,3,3,391
391,Probook 470,7,5,17.3,10,8,31,61,0,1000,2.5,3,3,392
392,SmartBook 140,13,5,14.0,10,2,85,87,32,0,1.4,3,3,393
393,Vostro 3559,2,5,15.6,16,4,3,53,0,500,2.24,3,5,394
394,XPS 13,2,4,13.3,10,8,58,12,256,0,1.2,3,3,395
395,Latitude 3380,2,5,13.3,16,4,45,53,0,500,1.65,3,3,396
396,Satellite Pro,3,5,15.6,16,4,3,53,0,500,2.1,3,3,397
397,IdeaPad 310-15ISK,14,5,15.6,16,8,113,53,0,1000,2.2,3,3,398
398,GS40 Phantom,17,3,14.0,10,16,81,37,256,1000,1.7,3,3,399
399,ZBook 15,7,1,15.6,10,8,81,73,256,0,2.59,3,5,400
400,Probook 470,7,5,17.3,10,8,2,65,256,0,2.63,3,3,401
401,VivoBook S15,19,4,15.6,10,16,31,32,256,1000,1.5,3,3,402
402,IdeaPad 320-15IKB,14,5,15.6,10,8,41,19,0,1000,2.2,1,1,403
403,MacBook Pro,5,4,13.3,35,8,82,31,256,0,1.37,6,1,404
404,B51-80 (i5-6200U/8GB/1TB/Radeon,14,5,15.6,10,8,3,26,0,1000,2.32,1,1,405
405,Envy 13-AD007nv,7,5,13.3,31,4,2,8,256,0,1.32,3,3,406
406,IdeaPad 320-17IKB,14,5,17.3,1,8,2,15,0,1000,2.8,1,1,407
407,Aspire VX5-591G,4,3,15.6,10,16,43,43,256,0,2.5,3,3,408
408,Inspiron 5567,2,5,15.6,10,8,2,1,0,1000,2.36,3,3,409
409,GL62 6QF,17,3,15.6,10,8,81,46,128,1000,2.3,3,3,410
410,IdeaPad 320-15ABR,14,5,15.6,10,12,17,21,0,2000,2.2,3,3,411
411,Yoga 910-13IKB,14,6,14.0,23,16,84,8,512,0,1.38,3,3,412
412,17-bs001nv (i5-7200U/6GB/2TB/Radeon,7,5,17.3,31,6,2,44,0,2000,2.71,3,3,413
413,ThinkPad T470,14,5,14.0,10,8,3,53,256,0,1.65,3,5,414
414,Probook 450,7,5,15.6,10,8,2,65,256,0,2.04,3,3,415
415,Probook 440,7,5,14.0,10,8,31,12,256,0,1.63,3,3,416
416,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,19,5,15.6,16,8,2,19,0,1000,2.3,2,1,417
417,ProBook 440,7,5,14.0,10,8,58,8,256,0,1.63,3,3,418
418,XPS 13,2,4,13.3,32,8,98,31,256,0,1.23,3,3,419
419,ProBook 440,7,5,14.0,10,8,2,65,256,0,1.64,3,3,420
420,Inspiron 3576,2,5,15.6,10,8,58,44,0,1000,2.2,3,3,421
421,Vostro 3559,2,5,15.6,16,4,3,51,0,500,2.24,3,5,422
422,Swift SF114-31-P5HY,4,5,14.0,16,4,12,16,128,0,1.6,3,3,423
423,Chromebook Flip,19,6,12.5,10,8,32,82,64,0,1.2,5,1,424
424,IdeaPad 320-15IKBN,14,5,15.6,10,4,2,8,128,0,2.2,1,1,425
425,Yoga 520-14IKB,14,6,14.0,31,8,58,12,256,0,1.74,3,3,426
426,Mi Notebook,8,4,13.3,31,8,3,19,256,0,1.28,3,3,427
427,Inspiron 7577,2,3,15.6,31,16,54,103,256,1000,2.65,3,3,428
428,Latitude 5480,2,5,14.0,16,4,2,8,0,500,1.6,3,3,429
429,IdeaPad 320s-14IKB,14,5,14.0,31,4,91,8,128,0,1.7,3,3,430
430,Inspiron 3576,2,5,15.6,10,8,58,44,0,1000,2.2,2,1,431
431,ProBook 470,7,5,17.3,10,8,58,65,0,1000,2.5,3,3,432
432,ProBook 650,7,5,15.6,16,4,3,53,0,500,2.31,3,3,433
433,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,19,5,15.6,16,4,90,81,0,1000,2.45,1,1,434
434,Spin 5,4,6,13.3,24,8,58,12,256,0,1.5,3,3,435
435,Ideapad 520-15IKBR,14,5,15.6,10,8,31,12,256,0,2.17,3,3,436
436,Portege Z30-C-1CV,3,5,13.3,10,4,3,53,128,0,1.2,3,5,437
437,ProBook 430,7,5,13.3,10,4,41,8,128,0,1.49,3,3,438
438,IdeaPad 320-17IKB,14,5,17.3,1,6,2,15,128,1000,2.8,3,3,439
439,Latitude 7480,2,4,14.0,10,8,99,87,512,0,1.36,3,3,440
440,Pixelbook (Core,6,4,12.3,34,8,103,47,128,0,1.1,5,1,441
441,VivoBook Pro,19,5,15.6,10,8,43,42,0,1000,1.99,3,3,442
442,Satellite Pro,3,5,14.0,16,4,36,9,128,0,1.75,3,3,443
443,Inspiron 3567,2,5,15.6,10,8,84,5,256,0,2.2,2,1,444
444,ThinkPad Yoga,14,6,13.3,24,8,2,8,256,0,1.37,3,3,445
445,VivoBook Max,19,5,15.6,10,4,2,58,0,1000,2.1,2,1,446
446,Envy 13-AB077cl,7,4,13.3,32,8,84,8,256,0,1.39,3,3,447
447,Latitude 5590,2,4,15.6,10,8,83,12,512,0,1.88,3,3,448
448,Aspire 5,4,5,15.6,16,8,11,88,0,1000,2.2,3,3,449
449,Elitebook 850,7,5,15.6,10,8,2,8,256,0,1.84,3,3,450
450,XPS 13,2,4,13.3,32,8,84,8,256,0,1.29,3,3,451
451,EliteBook 840,7,5,14.0,10,4,3,53,0,500,1.54,3,5,452
452,Elitebook 840,7,5,14.0,10,4,2,8,256,0,1.48,3,3,453
453,Vostro 5370,2,4,13.3,10,8,58,12,256,0,1.41,3,3,454
454,Inspiron 5368,2,6,13.3,23,8,25,53,256,0,1.62,3,3,455
455,Inspiron 7579,2,6,15.6,24,8,2,8,256,0,2.191,3,3,456
456,Vostro 3568,2,5,15.6,16,8,2,8,128,0,2.18,3,3,457
457,Latitude 5580,2,5,15.6,16,8,59,8,0,500,1.9,3,3,458
458,ProBook 440,7,5,15.6,16,4,45,53,128,0,1.63,3,3,459
459,VivoBook Max,19,5,15.6,10,4,2,8,256,0,2.0,2,1,460
460,EliteBook 820,7,2,12.5,16,8,59,8,256,0,1.26,3,3,461
461,ZBook Studio,7,1,15.6,10,8,81,73,256,0,2.0,3,5,462
462,IdeaPad Y700-15ISK,14,3,15.6,31,16,81,11,512,0,3.31,3,3,463
463,Inspiron 3567,2,5,15.6,10,8,84,5,256,0,2.2,3,3,464
464,Latitude 7390,2,4,13.3,23,8,58,12,256,0,1.42,3,3,465
465,250 G6,7,5,15.6,10,8,2,8,256,0,1.86,3,3,466
466,ThinkPad T560,14,5,15.6,10,8,3,53,256,0,2.3,3,3,467
467,Notebook 9,1,4,13.3,23,8,84,8,256,0,1.31,3,3,468
468,GL72M 7RDX,17,3,17.3,10,8,54,42,128,1000,2.7,3,3,469
469,Aspire 5,4,5,15.6,29,12,58,85,0,1000,2.2,3,3,470
470,X541NA-GO414T (N3350/8GB/1TB/W10),19,5,15.6,16,8,62,13,0,1000,2.0,3,3,471
471,Inspiron 7567,2,3,15.6,22,8,54,43,128,1000,2.62,3,3,472
472,Inspiron 3567,2,5,15.6,9,8,41,8,0,1000,2.3,3,3,473
473,ThinkPad L570,14,5,15.6,31,8,2,8,256,0,2.3,3,3,474
474,B51-80 (i5-6200U/8GB/1008GB/Radeon,14,5,15.6,10,8,3,26,250,750,2.5,3,3,475
475,IdeaPad 320-17IKB,14,5,17.3,1,6,84,19,128,1000,2.8,3,3,476
476,Vostro 3568,2,5,15.6,16,4,45,66,0,1000,2.18,3,3,477
477,Satellite Pro,3,5,13.3,31,8,2,8,256,0,1.5,3,3,478
478,GS70 Stealth,17,3,17.3,10,8,81,2,256,0,2.6,3,3,479
479,ProBook 470,7,5,17.3,10,8,58,65,128,1000,2.5,3,3,480
480,Pavilion X360,7,6,13.3,39,8,2,8,256,0,1.58,3,3,481
481,Rog Strix,19,3,17.3,10,16,54,103,256,1000,2.73,3,3,482
482,"MacBook 12""",5,4,12.0,40,8,28,7,512,0,0.92,6,4,483
483,Inspiron 5379,2,6,13.3,23,8,58,12,256,0,1.62,3,3,484
484,Inspiron 7773,2,6,17.3,23,12,58,4,0,1000,2.77,3,3,485
485,Aspire 5,4,5,15.6,10,8,31,32,0,1000,2.2,3,3,486
486,Elitebook 820,7,2,12.5,16,4,3,53,128,0,2.4,3,5,487
487,ZenBook Flip,19,6,15.6,23,12,84,93,512,2000,2.26,3,3,488
488,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,19,3,17.3,10,8,54,42,0,1000,3.0,3,3,489
489,Ideapad 320-15IAP,14,5,15.6,16,4,62,13,0,500,2.2,3,3,490
490,GP62 7RDX,17,3,15.6,10,16,54,42,256,1000,2.4,3,3,491
491,IdeaPad 320-15ABR,14,5,15.6,10,12,17,21,512,0,2.2,3,3,492
492,ZenBook UX410UA-GV183T,19,5,14.0,10,8,84,8,256,0,2.0,3,3,493
493,Omen 17-AN010nv,7,3,17.3,31,16,54,42,256,1000,3.78,3,3,494
494,Inspiron 5378,2,6,13.3,23,4,41,8,0,1000,1.71,3,3,495
495,IdeaPad 320-15IAP,14,5,15.6,10,4,61,60,128,0,2.2,3,3,496
496,250 G6,7,5,15.6,16,4,45,53,0,500,1.86,3,3,497
497,Inspiron 3576,2,5,15.6,10,8,31,44,256,0,2.14,2,1,498
498,Inspiron 7779,2,6,17.3,23,16,84,19,512,0,2.77,3,3,499
499,Satellite Pro,3,5,15.6,31,8,2,8,256,0,2.0,3,3,500
500,ProBook 650,7,5,14.0,16,8,59,8,256,0,2.31,3,3,501
501,Inspiron 5567,2,5,15.6,16,8,2,1,0,1000,2.5,3,3,502
502,Aspire ES1-572,4,5,15.6,16,4,45,53,0,500,2.4,3,3,503
503,250 G6,7,5,15.6,10,8,45,53,256,0,1.86,3,3,504
504,Inspiron 7579,2,6,15.6,24,12,84,8,512,0,2.19,3,3,505
505,Zenbook UX390UA,19,4,12.5,10,16,84,8,512,0,0.91,3,3,506
506,V110-15ISK (i3-6006U/4GB/128GB/W10),14,5,15.6,16,4,113,53,128,0,2.1,3,3,507
507,Vostro 5568,2,5,15.6,10,8,2,8,0,1000,2.18,3,3,508
508,Aspire ES1-572,4,5,15.6,16,4,2,8,0,500,2.4,2,1,509
509,VivoBook Max,19,5,15.6,16,4,41,8,0,1000,2.0,3,3,510
510,EliteBook 850,7,5,15.6,16,4,3,53,0,500,1.88,3,5,511
511,ProBook 650,7,1,15.6,31,8,26,8,512,0,2.31,3,3,512
512,Pavilion Power,7,5,15.6,31,12,54,42,128,1000,2.21,3,3,513
513,GL72M 7REX,17,3,17.3,10,8,54,43,128,1000,2.7,3,3,514
514,Swift 3,4,4,14.0,31,8,2,98,256,0,1.8,3,3,515
515,ProBook 640,7,5,14.0,10,4,2,8,256,0,1.95,3,3,516
516,ProBook 450,7,5,15.6,10,16,31,12,512,0,2.1,3,3,517
517,ROG Strix,19,3,17.3,31,8,43,103,128,1000,2.73,3,3,518
518,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),4,5,15.6,24,12,84,8,0,1000,2.15,3,3,519
519,Latitude 5580,2,5,15.6,10,16,99,65,256,0,1.93,3,3,520
520,Omen 17-an006nv,7,3,17.3,31,12,54,103,0,1000,3.78,3,3,521
521,Inspiron 3552,2,5,15.6,16,4,12,87,0,500,2.2,3,3,522
522,ProBook 450,7,5,15.6,16,4,2,8,0,500,2.04,3,3,523
523,Legion Y520-15IKBN,14,3,15.6,31,8,54,103,256,1000,2.4,1,1,524
524,Inspiron 5567,2,5,15.6,10,8,84,1,256,0,2.33,2,1,525
525,15-BS026nv (i5-7200U/8GB/256GB/Radeon,7,5,15.6,16,8,2,44,256,0,1.91,3,3,526
526,EliteBook 820,7,4,12.5,16,8,118,53,256,0,1.26,3,5,527
527,Vostro 5468,2,5,14.0,10,4,45,53,128,0,1.6,3,3,528
528,Aspire A515-51G,4,5,15.6,31,4,58,12,256,0,2.2,3,3,529
529,IdeaPad 520S-14IKB,14,5,14.0,31,8,91,8,256,0,1.7,1,1,530
530,IdeaPad 310-15IKB,14,5,15.6,10,8,84,102,0,1000,2.2,1,1,531
531,Probook 450,7,5,15.6,10,4,3,53,0,500,2.07,3,3,532
532,XPS 13,2,6,13.3,32,8,69,47,512,0,1.24,3,3,533
533,ZenBook UX310UA-FB485T,19,5,13.3,14,8,2,8,256,0,1.4,3,3,534
534,Thinkpad T570,14,5,15.6,31,8,84,33,256,0,1.95,3,3,535
535,Latitude E7270,2,4,12.5,23,8,118,53,256,0,1.26,3,5,536
536,Inspiron 5570,2,5,15.6,10,8,31,21,256,2000,2.02,3,3,537
537,ZBook 17,7,1,17.3,10,8,54,22,0,500,3.14,3,3,538
538,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,19,4,14.0,31,8,84,19,256,0,1.3,3,3,539
539,EliteBook 820,7,4,12.5,10,4,3,53,0,500,1.26,3,3,540
540,XPS 13,2,4,13.3,14,8,25,53,256,0,1.3,3,3,541
541,Elitebook 820,7,4,12.5,16,4,2,8,256,0,1.26,3,3,542
542,Vostro 3568,2,5,15.6,16,8,45,53,256,0,2.0,3,3,543
543,Aspire ES1-523,4,5,15.6,16,8,75,52,0,1000,2.4,3,3,544
544,Inspiron 5567,2,5,15.6,16,12,84,8,0,1000,2.3,3,3,545
545,ThinkPad 13,14,5,13.3,16,4,35,9,16,0,1.45,5,1,546
546,Latitude 3580,2,5,15.6,10,8,2,8,0,1000,2.06,3,3,547
547,ROG GL703VD-GC028T,19,3,17.3,10,16,54,42,256,1000,2.9,3,3,548
548,Latitude 3570,2,5,15.6,16,4,19,53,0,500,2.06,3,3,549
549,IdeaPad Y700-15ISK,14,3,15.6,24,16,81,46,128,1000,2.6,3,3,550
550,Latitude 5580,2,5,15.6,16,4,2,8,0,500,1.9,3,3,551
551,ZenBook 3,19,4,14.0,10,16,84,8,512,0,1.1,3,3,552
552,15-bs053od (i7-7500U/6GB/1TB/W10),7,5,15.6,16,6,84,8,0,1000,2.04,3,3,553
553,ProBook 470,7,5,17.3,1,8,2,65,0,1000,2.63,3,3,554
554,XPS 13,2,4,13.3,32,8,31,12,256,0,1.2,3,3,555
555,Inspiron 7567,2,3,15.6,10,8,54,42,0,1000,2.62,3,3,556
556,Inspiron 5378,2,6,13.3,23,8,2,8,256,0,1.68,3,3,557
557,VivoBook S14,19,5,14.0,16,4,41,8,128,0,1.3,3,3,558
558,Vostro 3568,2,5,15.6,10,4,84,66,256,0,2.18,3,3,559
559,Pro P2540UA-XO0198T,19,5,15.6,16,4,41,8,0,1000,2.37,3,3,560
560,15-BW037na (A9-9420/4GB/1TB/Radeon,7,5,15.6,10,4,18,44,0,1000,2.1,3,3,561
561,Thinkpad T460,14,4,14.0,31,8,55,53,256,0,1.7,3,3,562
562,Thinkpad E570,14,5,15.6,31,8,2,19,256,0,2.3,3,3,563
563,Portege A30-C-1CZ,3,5,13.3,16,8,3,53,256,0,1.5,3,3,564
564,Thinkpad 13,14,5,13.3,31,4,41,8,1,0,1.44,3,3,565
565,Portege X30-D-10V,3,5,13.3,10,8,2,8,256,0,1.05,3,3,566
566,Legion Y520-15IKBN,14,3,15.6,31,8,54,20,128,1000,2.5,3,3,567
567,Aspire F5-573G-510L,4,5,15.6,10,12,2,81,128,1000,2.4,3,3,568
568,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,19,5,15.6,10,8,41,19,0,1000,2.3,2,1,569
569,IdeaPad 320-15ISK,14,5,15.6,10,4,3,53,0,500,2.2,3,3,570
570,ProBook 450,7,5,15.6,10,8,58,12,0,1000,2.1,3,3,571
571,Yoga 720-15IKB,14,6,15.6,24,8,54,33,256,0,2.0,3,3,572
572,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),14,5,15.6,10,8,31,12,256,0,2.05,3,3,573
573,ZBook 15u,7,1,15.6,10,8,25,30,256,0,1.9,3,5,574
574,ThinkPad T460,14,5,14.0,16,4,3,53,127,381,1.7,3,5,575
575,ThinkPad L570,14,5,15.6,16,4,2,8,0,500,2.38,3,3,576
576,Inspiron 5570,2,5,15.6,10,8,31,12,128,1000,2.02,3,3,577
577,K556UR-DM621T (i7-7500U/8GB/256GB/GeForce,19,5,15.6,31,8,84,64,256,0,2.3,3,3,578
578,Inspiron 3576,2,5,15.6,10,8,31,44,256,0,2.13,3,3,579
579,ThinkPad Yoga,14,6,13.3,24,8,84,8,256,0,1.37,3,3,580
580,Inspiron 5567,2,5,15.6,16,8,84,1,0,1000,2.36,3,3,581
581,GT72S Dominator,17,3,17.3,31,16,111,56,256,1000,3.78,3,3,582
582,Latitude 5480,2,5,14.0,10,8,88,65,256,0,1.64,2,1,583
583,Inspiron 5567,2,5,15.6,10,8,2,1,256,0,2.36,3,3,584
584,15-AY023na (N3710/8GB/2TB/W10),7,5,15.6,16,8,12,16,0,2000,2.04,3,3,585
585,15-bs190od (i5-8250U/4GB/1TB/W10),7,5,15.6,9,4,58,12,0,1000,2.04,3,3,586
586,Rog GL553VE-DS74,19,3,15.6,10,16,54,43,256,1000,2.5,3,3,587
587,Vostro 5568,2,5,15.6,10,8,45,72,256,0,2.0,3,3,588
588,Precision 3520,2,1,15.6,23,8,54,90,256,0,2.06,3,3,589
589,250 G6,7,5,15.6,10,4,12,16,256,0,1.86,3,3,590
590,250 G6,7,5,15.6,16,4,2,44,0,500,1.86,3,3,591
591,EliteBook 820,7,4,12.5,16,4,3,53,256,0,1.26,3,3,592
592,Surface Laptop,9,4,13.5,27,8,2,8,256,0,1.252,3,2,593
593,Inspiron 3552,2,5,15.6,16,4,21,87,0,500,2.2,3,3,594
594,Legion Y520-15IKBN,14,3,15.6,31,8,43,42,128,1000,2.5,3,3,595
595,ProBook 470,7,5,17.3,10,8,84,65,256,0,2.63,3,3,596
596,XPS 13,2,4,13.3,13,8,31,12,256,0,1.21,3,3,597
597,Thinkpad X260,14,4,12.5,29,8,3,53,1,0,1.3,3,3,598
598,Mi Notebook,8,5,15.6,31,8,58,32,256,0,1.95,1,1,599
599,Elitebook 840,7,5,14.0,10,8,84,8,256,0,1.48,3,3,600
600,Alienware 15,2,3,15.6,22,16,81,37,256,1000,3.21,3,3,601
601,ProBook 450,7,5,15.6,10,8,84,8,256,0,2.04,3,3,602
602,ProBook 450,7,5,15.6,31,8,41,61,0,1000,2.1,3,3,603
603,Inspiron 3567,2,5,15.6,10,4,45,5,256,0,2.2,2,1,604
604,"MacBook 12""",5,4,12.0,40,8,28,82,512,0,0.92,6,4,605
605,Inspiron 5567,2,5,15.6,16,8,2,1,0,1000,2.36,3,3,606
606,255 G6,7,5,15.6,10,4,7,23,256,0,1.86,3,3,607
607,ThinkPad Yoga,14,2,12.5,24,16,116,53,512,0,1.3,3,3,608
608,Elitebook 820,7,2,12.5,10,8,84,8,512,0,1.26,3,3,609
609,EliteBook 1040,7,4,14.0,10,8,25,53,256,0,1.43,3,3,610
610,Inspiron 5570,2,5,15.6,10,8,58,21,0,2000,2.02,3,3,611
611,ZenBook Pro,19,5,15.6,21,12,81,45,128,1000,2.06,3,3,612
612,Probook 440,7,5,14.0,29,4,58,12,0,500,1.63,3,3,613
613,Envy 13-ad009n,7,4,13.3,31,8,84,32,256,0,1.38,3,3,614
614,Portege Z30-C-16Z,3,5,13.3,10,8,118,53,256,0,1.2,3,3,615
615,Inspiron 3567,2,5,15.6,16,8,41,8,0,1000,2.3,3,3,616
616,IdeaPad 320-15ISK,14,5,15.6,16,8,45,53,128,0,2.2,3,3,617
617,Aspire A515-51G,4,5,15.6,31,8,31,85,0,1000,2.2,3,3,618
618,Surface Laptop,9,4,13.5,27,8,56,31,256,0,1.25,3,2,619
619,Elitebook 1040,7,4,14.0,31,8,84,8,256,0,1.36,3,3,620
620,Portege Z30-C-16J,3,5,13.3,10,8,3,53,256,0,1.2,3,3,621
621,MacBook Pro,5,4,13.3,35,8,46,14,256,0,1.37,6,1,622
622,Pavilion X360,7,6,14.0,24,4,41,19,128,0,1.63,3,3,623
623,Vivobook E200HA,19,2,11.6,16,2,85,105,32,0,0.98,3,3,624
624,SmartBook Edge,13,5,13.3,31,4,44,13,32,0,1.2,3,3,625
625,Latitude 3580,2,5,15.6,16,4,3,53,0,500,1.95,3,3,626
626,15-bs005nv (i3-6006U/4GB/1TB,7,5,15.6,10,4,45,44,128,1000,2.1,3,3,627
627,Inspiron 3567,2,5,15.6,16,4,2,5,0,500,2.25,3,3,628
628,Latitude 5580,2,5,15.6,10,16,59,8,512,0,1.93,3,3,629
629,Yoga 720-15IKB,14,6,15.6,24,8,54,20,512,0,2.0,3,3,630
630,EliteBook x360,7,6,13.3,23,4,2,8,256,0,1.28,3,3,631
631,FX553VD-DM627T (i5-7300HQ/8GB/1TB,19,5,15.6,10,8,43,42,128,1000,2.5,3,3,632
632,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,19,3,15.6,10,8,54,42,256,0,2.5,3,3,633
633,Inspiron 5570,2,5,15.6,10,8,31,21,128,2000,2.02,3,3,634
634,ThinkPad T470s,14,4,14.0,31,8,2,8,256,0,1.32,3,3,635
635,ThinkPad P51,14,1,15.6,10,8,54,22,512,0,2.67,3,3,636
